text,label
disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',hate
siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',neutral
"Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",neutral
AKU ITU AKU KU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',neutral
Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',hate
Ya bani taplak dkk ',hate
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,neutral
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,neutral
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ?? Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 depan TWINS BABY amp ROMANTIKA Bank Islam Senawang ???",neutral
Enak lg klo smbil ngewe',neutral
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu '",hate
BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE URL,hate
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi,neutral
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,hate
Bu guru enakan jadi jablay atau guru esde sih. Kayaknya menikmati jadi pecun ini guru.',hate
"Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",hate
Belakangan ini kok fikiran ampas banget ya',neutral
Ari sarua beki mah repeh monyet',neutral
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',hate
Slga mnr bom ',neutral
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",neutral
kalo kamu noob pasti peluang disakitin nya lebih gede si',neutral
"Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",neutral
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX amp PILKADA 2018 DAMAI,neutral
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan,neutral
"Siapapun gubernur dan presidennya, rakyatnya, ya kita juga...",neutral
Ini si kerjaannya delay mulu! Setan!',hate
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,neutral
RT PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,hate
Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',hate
"Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek JIL. Sementara JIL anti Arab, tapi pro Aseng! Kata alm KH. Hasyim Muzadi,",hate
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira ',neutral
Gak kak emak mah gak demen ama yang sipit wkwk',neutral
"Kelakuan homok jaman now, ngentot aja sambil live di Blued URL",neutral
"Ga kak, gua bukan orang jawa maaf yak gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",neutral
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',hate
Para Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!sanji ',neutral
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,neutral
Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk,neutral
Edan emang goollnya fabiano!!',neutral
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',hate
"Sangat terlihat beda sekali Kewibawaannya , yg sangat berwibawa cuma gubernur Indonesia Massya Allah...",neutral
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus.,hate
"RT ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,?? tutur Djarot di hadapan peserta Rakercabsu?",neutral
"Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs SundaJawa, ada HKBP juga kurang Nusantara apa?'",neutral
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",neutral
positif kok. se-positif respon masyarakat terhadap - CANGKUL impor - GARAM impor - BERAS impor - JAGUNG impor - TENAGA KERJA impor - ESEMKA impor URL,neutral
"Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu. Istilahsembahyangpun lahir dari tradisi ritusmenyembahHyang Yang Tunggal, sama denganshalat menyembah All",neutral
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,hate
"BTP the best ,abaikan kaum kampret otak micin ,'",hate
", si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",hate
"Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"".",hate
pinokio umur 3 taonan tuh.,hate
"Cerita silat lae semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",neutral
RT benci sekali dgn Umat Islam,hate
"""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya. FYI ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita",hate
dari pada gua nete',neutral
Lol bani lowo',hate
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim amp telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof Mari kita demo diri sendi",neutral
"A orang yang suka ke konser-konser, sedikit boros.",neutral
SAMPAI KAPAN MAKAN RACUN ? _ Banyak ulama yang mengatakan hukum rokok mubah dan ada juga?,neutral
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS,neutral
"udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",hate
Saya suka video URL Awal Kisah Perseteruan Haji Bolot amp Malih Tongtong',neutral
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",neutral
"la la la...hm hmm ""Semua diam ,semua bisu"" ""Kita coba tanya sama rumput yg bergoyang"" '",neutral
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. QS. al-Araf 200 dan Fushilat 36.'",neutral
Klw ente atheis..ngapain sibuk dgn agama orang...,neutral
Lengserkan Jokowi Bangsat!!,hate
Selamat hari kartini,neutral
"Bajingan Homo!!! Hati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL",hate
Iya cocot',hate
karena budaya indonesia.,neutral
"Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",neutral
x Lo ngomong aja kaga bener bangke',hate
Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,neutral
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,hate
Kalo seumpama orang cina di usir paksa dari indonesia gimana,hate
bunda ngentot yuk',neutral
china babi... china maling...,hate
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena keboohannya. Kalau kami keliru kami tutup akun'",neutral
PROYEK KORUPSI REZIM SBY URL,hate
"Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",neutral
AB pribadi yg senang berkompetisi dalam hal yang baik dan positif,neutral
Terus menurut lo kitab suci agAma apa yg di bilang om,hate
